Date,StackedEnsemble_G10,PolicyAgent_G10
2003-11-27,1.009104808106893,1.016864530931481
2003-11-28,1.009104808106893,1.016864530931481
2003-12-01,1.009104808106893,1.016864530931481
2003-12-02,1.009104808106893,1.016864530931481
2003-12-03,1.009104808106893,1.016864530931481
2003-12-04,1.009104808106893,1.016864530931481
2003-12-05,1.009104808106893,1.016864530931481
2003-12-08,1.009104808106893,1.016864530931481
2003-12-09,1.009104808106893,1.016864530931481
2003-12-10,1.009104808106893,1.016864530931481
2003-12-11,1.009104808106893,1.016864530931481
2003-12-12,1.009104808106893,1.016864530931481
2003-12-15,1.009104808106893,1.016864530931481
2003-12-16,1.009104808106893,1.016864530931481
2003-12-17,1.0084101565703254,1.016864530931481
2003-12-18,1.0079424297317745,1.0174007454531313
2003-12-19,1.0084742211015145,1.0174007454531313
2003-12-22,1.0086178301896258,1.0174007454531313
2003-12-23,1.0086178301896258,1.0174007454531313
2003-12-24,1.0086178301896258,1.0174007454531313
2003-12-25,1.0086178301896258,1.0174007454531313
2003-12-26,1.0086178301896258,1.0174007454531313
2003-12-29,1.0086178301896258,1.0174007454531313
2003-12-30,1.0086178301896258,1.0174007454531313
2003-12-31,1.0086178301896258,1.0174007454531313
2004-01-01,1.0086178301896258,1.0174007454531313
2004-01-02,1.0086178301896258,1.0174007454531313
2004-01-05,1.0086178301896258,1.0174007454531313
2004-01-06,1.0077015701939684,1.017632566056483
2004-01-07,1.0079298668227594,1.017632566056483
2004-01-08,1.0069826979835008,1.0174822876102396
2004-01-09,1.0059763328315812,1.0177721670899569
2004-01-12,1.0062537702599694,1.018143278426277
2004-01-13,1.0066043623329914,1.0193769754107225
2004-01-14,1.0078410663434698,1.0180337017553045
2004-01-15,1.0064934251607855,1.0171381859850257
2004-01-16,1.0058891880867256,1.014623487181615
2004-01-19,1.0033989703988475,1.0217415864388173
2004-01-20,1.0092004639387282,1.0235978756679471
2004-01-21,1.0101630647835027,1.0235978756679471
2004-01-22,1.0109491888067352,1.0228040951377662
2004-01-23,1.01014702143609,1.0223119512090542
2004-01-26,1.0096496776662898,1.0237566317739832
2004-01-27,1.0111096222808642,1.0237566317739832
2004-01-28,1.0111096222808642,1.0237566317739832
2004-01-29,1.0097572157146397,1.025011372258112
2004-01-30,1.01132947023188,1.0242559136031324
2004-02-02,1.01132947023188,1.0252251813114084
2004-02-03,1.01132947023188,1.0252251813114084
2004-02-04,1.01132947023188,1.025139219855851
2004-02-05,1.01132947023188,1.025139219855851
2004-02-06,1.01132947023188,1.025139219855851
2004-02-09,1.01132947023188,1.025139219855851
2004-02-10,1.01132947023188,1.025139219855851
2004-02-11,1.01132947023188,1.025139219855851
2004-02-12,1.01132947023188,1.025139219855851
2004-02-13,1.01132947023188,1.025139219855851
2004-02-16,1.01132947023188,1.025139219855851
2004-02-17,1.01132947023188,1.025139219855851
2004-02-18,1.01132947023188,1.0248525986138108
2004-02-19,1.0110566260926057,1.0226365919795333
2004-02-20,1.0089471368640603,1.0233338075519611
2004-02-23,1.0097530793440692,1.0247061797332733
2004-02-24,1.0112526167165834,1.02272074551247
2004-02-25,1.0104251038427736,1.0220086393826397
2004-02-26,1.009841371127332,1.0228147791037059
